City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,esquel,-42.9,-71.3167,5.01,90,100,2.65,AR,1699500509
207,viqueque,-8.8673,126.3658,34.15,41,2,4.1,TL,1699500510
208,yarmouth,41.7057,-70.2286,6.65,66,0,7.6,US,1699500511
209,newman,37.3138,-121.0208,14.05,65,0,1.85,US,1699500498
210,san jose,37.3394,-121.895,15.76,55,0,4.47,US,1699500377
211,severo-yeniseyskiy,60.3725,93.0408,-15.24,92,9,1.34,RU,1699500513
212,taza,34.25,-3.75,12.56,35,87,1.93,MA,1699500514
213,sidlaghatta,13.3881,77.8628,22.05,85,100,2.87,IN,1699500515
214,grantsville,40.5999,-112.4644,5.36,79,3,2.24,US,1699500516
215,evanston,42.0411,-87.6901,11.0,85,100,5.66,US,1699500473
216,paranagua,-25.52,-48.5092,18.84,97,96,0.84,BR,1699500517
217,holualoa,19.6228,-155.9522,26.94,80,20,3.6,US,1699500518
218,muli,2.9167,73.5667,27.41,76,100,2.08,MV,1699500519
219,al burayqah,30.4062,19.5739,21.63,68,100,2.32,LY,1699500520
220,isiro,2.7739,27.616,19.14,98,99,0.86,CD,1699500521
221,kapit,2.0167,112.9333,27.82,76,100,1.15,MY,1699500522
222,saipan,15.1355,145.701,31.39,70,40,8.75,MP,1699500522
223,deir ez-zor,35.3359,40.1408,19.46,42,1,1.94,SY,1699500524
224,tazacorte,28.629,-17.9293,20.54,76,75,5.66,ES,1699500525
225,guerrero negro,27.9769,-114.0611,19.42,65,73,5.1,MX,1699500526
226,antonio enes,-16.2325,39.9086,24.96,84,62,4.23,MZ,1699500527
227,el colomo,19.05,-104.25,26.47,86,13,1.61,MX,1699500528
228,lazaro cardenas,17.9583,-102.2,26.7,83,15,2.14,MX,1699500411
229,patong,7.8961,98.2966,31.08,73,91,1.81,TH,1699500530
230,ust-nera,64.5667,143.2,-25.72,98,67,1.77,RU,1699500530
231,kingston,17.997,-76.7936,27.53,78,20,2.57,JM,1699500427
232,kindu,-2.95,25.95,21.83,99,100,1.81,CD,1699500530
233,longyearbyen,78.2186,15.6401,-3.09,80,75,5.66,SJ,1699500515
234,beloyarskiy,63.7119,66.6722,-1.67,88,100,2.68,RU,1699500534
